user_id,posts,total_eng,mean_eng,mean_likes,follower_count,country,language,account_created,engagement_rate,age_days_at_start,power_creator,high_volume_low_yield,quiet_performer,casual
user_00evmn72,10,31302.0,3130.2,2298.4444444444443,28265.0,South Africa,hi,2023-03-28,1.1074473730762426,400,False,True,False,False
user_01hav2yk,6,16095.0,2682.5,1182.0,14971.0,Spain,es,2023-11-20,1.0750784850711375,163,False,False,False,True
user_01mu2x1s,7,36019.0,5145.571428571428,3532.0,25887.0,Canada,es,2023-11-02,1.391393363464287,181,False,False,False,False
user_0281t7ll,11,24754.0,2250.3636363636365,1361.111111111111,20201.0,United States,de,2023-07-30,1.2253848819365378,276,False,True,False,False
user_02sm9ly7,7,22771.0,3253.0,1824.0,48317.0,South Korea,ru,2023-10-12,0.47128339921766665,202,False,False,False,True
user_04aagjp1,9,31757.0,3528.5555555555557,2363.25,19180.0,Brazil,de,2023-10-31,1.6557351407716372,183,False,False,False,False
user_056jjlrt,4,19484.0,4871.0,3312.25,41352.0,,ja,2023-01-16,0.4711743083768621,471,False,False,True,False
user_057ka83m,8,35293.0,4411.625,3214.5714285714284,17153.0,United Kingdom,zh,2023-02-11,2.057540954934997,445,False,False,False,False
user_06v0exkg,11,39329.0,3575.3636363636365,2216.7,552.0,Spain,zh,2023-05-20,71.2481884057971,347,False,True,False,False
user_084pfdpp,3,9149.0,3049.6666666666665,2569.5,33781.0,Australia,ar,2023-02-11,0.2708327166158491,445,False,False,False,True
user_086yixlz,6,19372.0,3228.6666666666665,1989.6666666666667,36105.0,France,ar,2023-04-29,0.5365461847389559,368,False,False,False,True
user_096zrz0x,7,33052.0,4721.714285714285,3500.714285714286,44273.0,China,ru,2023-09-30,0.7465498159148917,214,False,False,False,False
user_0aacyvtz,11,45616.0,4146.909090909091,2882.9,1452.0,Italy,ru,2023-01-19,31.415977961432507,468,True,False,False,False
user_0bjcdj9t,8,31879.0,3984.875,2749.285714285714,40001.0,Japan,pt,2023-07-31,0.7969550761230969,275,False,False,False,False
user_0c5vu9wm,4,14484.0,3621.0,2292.3333333333335,43214.0,Nigeria,ru,2023-09-27,0.3351691581431943,217,False,False,False,False
user_0digod7y,6,22834.0,3805.6666666666665,2601.6666666666665,27536.0,Egypt,ar,2023-07-31,0.8292417199302731,275,False,False,False,False
user_0e2how9t,6,28429.0,4738.166666666667,3693.2,23563.0,Australia,hi,2023-09-03,1.2065102066799644,241,False,False,False,False
user_0eufcipi,7,18726.0,2675.1428571428573,2265.75,27089.0,China,pt,2023-08-18,0.6912769020635683,257,False,False,False,True
